,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
TCGA.AB.2815,0.02363497,-0.16037959,0.09033268,-0.12485398,-0.11137076,-0.23517185,-0.1348803,0.006801784,0.02539173,-0.19015971,-0.41308957,-0.09163099,0.5039408,0.10210927,0.117446646,-0.20765953,-0.017660936,-0.069159165,0.2919196,0.036295686,-0.3314762,0.19723733,0.0532227,-0.1572696,-0.43097764,0.03146127,-0.4061344,-0.011837088,-0.00778012,-0.031345733,-0.10239119,-0.44501033,0.10731879,0.0342715,-0.38881993,0.21691963,-0.1672209,-0.05289032,0.4253632,-0.54197055,0.22053799,0.56090534,-0.03647497,0.006271623,-0.113511354,0.2307289,-0.15240134,0.019533157,0.42734057,-0.035159186,-0.26619673,0.28562734,-0.120761685,0.0137529075,0.13802397,0.26573297,-0.12423283,0.11393921,-0.17709082,0.13366124,0.15401223,0.13265157,-0.05189067,-0.3237022
TCGA.AB.2816,-0.0005397573,-0.011323754,-0.06503014,-0.029836334,0.055678725,-0.1973302,-0.094245546,0.014753699,-0.13533619,-0.07343756,-0.19104806,0.07221614,0.26225767,0.022847638,-0.13905731,-0.2005398,-0.3753276,-0.20550677,0.11109063,0.117942415,-0.077942014,0.07542242,-0.2138132,-0.040039457,-0.32465965,0.25324327,-0.59955543,0.25723407,-0.18800889,-0.39620954,-0.1672531,-0.6872994,-0.035398502,0.5283672,-0.43106425,-0.04575905,-0.2805599,-0.31537578,0.30909228,-0.8282476,0.27397412,0.25102276,-0.29774362,0.38183954,-0.20378727,0.13380447,-0.39148107,-0.03507995,0.5236875,-0.058053657,-0.23293853,-0.29017657,0.0025131628,0.06437057,0.4753076,-0.025653873,-0.24363355,0.37313586,-0.43074936,-0.091433175,-0.13549526,0.14148079,-0.46790123,-0.726676
TCGA.AB.2817,0.7322772,-0.28775042,0.148624,-0.0015217662,-0.31281868,-0.15932359,0.64268655,-0.26590618,0.52028096,0.5262265,0.23845847,-0.051070027,0.017986178,0.21061434,0.3019453,0.052903727,0.011536628,0.5070663,0.47622478,0.39890224,0.049609248,0.79021513,0.012650162,0.38738868,-0.2918383,-0.22109507,-0.14819115,0.08927639,0.56206495,0.80119956,-0.9398922,0.14170653,1.093656,-0.09933848,-0.14462136,-0.08111503,-0.68567455,-0.76739717,0.70097184,0.19469567,0.10599722,-1.6839811,0.8694736,0.081735276,0.26372707,0.30179733,-0.0006630048,-0.05042457,0.7172676,-0.3925799,-0.13620761,-0.3003044,0.017582223,-0.7373859,0.13399804,0.31829286,0.53534657,0.1936112,0.0024386141,-0.038932238,-0.115653135,0.07022312,-0.6451922,0.41270593
TCGA.AB.2818,0.024584085,-0.09460755,-0.07223156,-0.1617199,-0.03954877,-0.15829085,-0.21557909,-0.04750453,-0.100831725,-0.04730819,-0.24975339,0.05425292,0.29349557,0.08742599,0.06486925,-0.07798329,-0.31294546,-0.055083506,0.1645473,-0.04716228,-0.1636096,-0.0720266,0.07739532,-0.08646766,-0.35660517,0.1430496,-0.36986035,0.15640675,-0.1284507,-0.21662796,-0.033235803,-0.64223105,0.036746122,0.17619842,-0.16200486,0.023318406,-0.27755088,-0.027316844,0.1639894,-0.6564722,0.19053379,0.5901624,-0.17668703,0.10792422,0.021066256,0.14997572,-0.21882798,-0.021901585,0.37946755,0.04907571,-0.24713618,0.045924537,0.031324916,0.08999261,0.22167069,-0.052122444,-0.1395868,0.27669635,-0.20309922,-0.05862123,-0.035025597,0.13009597,-0.24644403,-0.4649642
TCGA.AB.2819,-0.025125748,-0.17710721,0.038931124,0.36256832,-0.2637413,-0.2393427,-0.38838083,0.20761254,-0.256218,-0.395938,-0.56199753,0.039065726,0.05650327,0.33572268,-0.049416285,0.32903147,0.7602204,0.26089573,0.356558,0.34832543,0.0301564,0.0024871603,-0.3088465,-0.14832315,-0.5560384,-0.45401394,-0.2092289,-0.3277976,0.28259784,0.5206902,-0.017479524,-0.47993875,-0.33648124,-0.59636843,0.1590558,0.441092,0.33646157,0.593019,0.5529957,0.06942386,-0.063181534,0.7871323,-0.24358636,-0.5360541,0.21900219,0.20884232,-0.2224689,-0.15298137,-0.21411303,0.30260772,0.40852097,0.88440645,0.045823015,0.024515182,-0.64851016,0.41796312,-0.21347377,-0.39864257,0.48740488,0.57558405,0.6469909,0.09261214,0.67575586,0.050661646
TCGA.AB.2820,-0.22751056,0.6875013,0.0030312054,-0.44138926,0.39987928,0.12674777,0.64718795,0.20147072,0.3071927,-0.6228535,0.39120162,-0.077760786,0.054341335,0.142783,0.07118,-0.18830596,0.46631968,-0.049605627,-0.63064456,-0.10841112,-0.58001184,0.4311065,-0.08280115,-0.16519102,0.91321695,0.14069672,0.05092587,-0.14587831,0.34128064,-0.5659524,-0.04841981,0.8157854,-0.54936004,0.10125667,0.4643845,-0.345117,0.020813778,-0.089836635,-0.93851054,0.31039554,0.25208002,-0.613274,-0.16512865,0.04519804,-0.3678556,-0.14841893,0.8179591,0.30861223,-0.38278735,-0.5718435,0.63214266,0.39069086,-0.15205756,0.06427054,-0.19811562,0.08711363,-0.51722217,0.07987944,-0.0930222,0.009834573,0.22938387,-0.5851986,-0.26588714,0.05359313
TCGA.AB.2821,-0.2910956,0.8834251,0.15319346,-0.3895558,0.68257964,0.077256486,0.5445248,0.21638924,0.2540011,-0.646585,0.6355102,-0.17139027,-0.017195575,-0.13707362,0.04386197,-0.32161987,0.15151396,-0.4044571,-0.73165137,-0.144407,-0.6915544,0.3935129,-0.030041978,-0.3857345,1.029815,0.29897755,0.016010795,-0.124289304,0.0952822,-1.2122843,0.25914595,1.0001163,-0.62978154,0.41815817,0.06999107,-0.5967515,0.061508805,-0.16059673,-1.0773311,0.13538481,0.08493167,-0.44405204,-0.15456098,0.26926303,-0.5088279,-0.1521124,0.8971622,0.5623755,-0.6828955,-0.55607575,0.58969,0.17316407,-0.10661785,0.11739404,0.09723717,0.045144483,-0.7655102,0.035608634,-0.25128892,-0.22933748,-0.082285404,-0.5414386,-0.081352524,7.909536e-05
TCGA.AB.2822,-0.16249469,1.15628,0.32998237,-0.2826689,0.76678944,0.14220278,0.6047228,0.20127334,0.17569435,-0.53642035,0.6768246,-0.10366661,-0.23556042,-0.100233,0.18297614,-0.34095338,0.044950932,-0.46736565,-0.56215644,-0.14364778,-0.7496308,0.43851408,-0.16245338,-0.48874837,0.92799836,0.28995803,-0.30213583,-0.10793033,-0.1192455,-1.6310053,0.3107929,0.8578355,-0.7498579,0.40798455,0.25387222,-0.92463326,-0.042741954,-0.17427003,-1.1040334,0.28746918,-0.020127535,-0.39277983,-0.16952077,0.41176155,-0.42962515,-0.1301955,0.76160324,0.7152468,-0.87545145,-0.46311167,0.7018391,0.035783574,0.12263261,-0.04961019,0.18273091,-0.09895958,-1.1328437,0.01621379,-0.16444668,-0.3594804,-0.13850261,-0.69611114,-0.11568145,0.020197988
TCGA.AB.2823,0.2948315,1.2913399,0.80475104,-0.26203004,-0.043065257,0.34105453,0.7105588,-0.09389568,-0.06535367,-0.5146946,-0.26809028,0.1412437,0.046440147,0.9634384,0.63656366,-0.31195354,0.22632587,0.59119666,0.27513215,-0.11464436,-0.87453455,0.4134835,-0.0006229207,-0.52364445,0.26455066,-0.17679428,-0.79338026,-0.34950012,-0.244651,-0.75032747,-0.18153533,0.1602436,-0.9495652,-1.2822397,1.8889344,-0.87067175,-0.28363279,0.47571543,-0.328096,1.0332526,-0.254882,0.49428988,-0.042898297,-0.3988646,0.37738118,-0.073628746,0.19292183,0.1705484,-0.7194107,0.24885662,0.58049977,0.7712633,0.18442199,-0.5742174,-0.46627215,0.18551084,-1.5100703,-0.5415771,1.0141226,0.059636507,0.9148363,-1.3290869,-0.16003661,0.4346499
TCGA.AB.2824,0.017101195,-0.41743535,-0.06180468,-0.33095056,-0.14907104,-0.15062173,-0.19146204,-0.26581722,0.15503135,0.12583217,-0.27427036,-0.18291622,0.31998286,0.08541557,0.33298343,-0.09128182,-0.34376574,-0.029766861,0.14068052,-0.20307198,-0.32196602,-0.10488823,0.65627956,-0.108493716,-0.29496735,0.22104207,0.022017736,0.060907193,-0.0053363964,0.1379493,0.19049354,-0.03850898,0.38676208,-0.056243174,-0.12058943,0.19232193,-0.13803492,0.16615883,-0.10798241,-0.3519867,0.10066937,0.69538087,0.22422321,-0.18678959,-0.110881254,0.12482248,0.16747946,0.021876767,0.3363407,0.052391477,-0.5040186,0.3184958,-0.09768872,0.13073266,-0.03377895,-0.06916006,0.16104688,0.08436471,-0.07656238,-0.040484503,-0.045332175,0.2812208,0.12706152,-0.060349446
